id_loan;id_user;isbn;loan_date;return_date;state
1;1;978-0-13-079650-9;26/07/2025;10/08/2025;entregado
2;2;978-0-609-15622-3;28/06/2025;29/07/2025;retrasado
3;3;978-1-75600-708-6;12/07/2025;15/07/2025;retrasado
4;4;978-1-84859-314-5;29/06/2025;19/08/2025;retrasado
5;5;978-1-260-81269-5;28/06/2025;18/07/2025;entregado
6;6;978-1-4354-7268-6;10/07/2025;1/08/2025;retrasado
7;7;978-0-657-67092-4;15/07/2025;31/07/2025;entregado
8;8;978-1-371-30136-1;22/06/2025;24/06/2025;activo
9;9;978-0-02-908732-9;3/08/2025;8/08/2025;activo
10;10;978-0-585-64307-6;12/07/2025;26/07/2025;entregado
11;11;978-1-81895-224-8;10/07/2025;12/08/2025;entregado
12;12;978-1-77672-912-8;11/06/2025;15/06/2025;retrasado
13;13;978-1-147-19413-5;21/06/2025;21/08/2025;retrasado
14;14;978-1-968004-87-3;8/06/2025;12/08/2025;activo
15;15;978-0-08-642690-1;7/06/2025;6/07/2025;retrasado
16;16;978-1-4223-3839-1;22/06/2025;28/07/2025;retrasado
17;17;978-1-345-50010-3;21/06/2025;19/08/2025;activo
18;18;978-0-513-31097-1;22/06/2025;24/07/2025;entregado
19;19;978-0-8409-5935-5;22/06/2025;5/07/2025;retrasado
20;20;978-0-209-82075-3;4/08/2025;19/08/2025;activo
21;21;978-1-60223-341-6;27/07/2025;21/08/2025;retrasado
22;22;978-0-531-17189-9;3/08/2025;22/08/2025;retrasado
23;23;978-0-941372-63-3;22/07/2025;15/08/2025;entregado
24;24;978-1-279-76311-7;1/07/2025;26/07/2025;entregado
25;25;978-1-58563-626-6;7/06/2025;7/08/2025;activo
26;26;978-0-88588-699-9;1/07/2025;18/07/2025;activo
27;27;978-0-310-36087-2;7/07/2025;27/07/2025;retrasado
28;28;978-0-87786-254-3;26/07/2025;22/08/2025;entregado
29;29;978-0-01-681154-8;19/07/2025;21/07/2025;retrasado
30;30;978-1-883429-20-1;27/07/2025;1/08/2025;entregado
